{'Crawlling_time': '2024-01-22 13:12:43', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:44', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:44', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:44', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:44', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:45', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:46', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:46', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:46', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:46', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:47', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:47', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:48', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:49', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:49', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:51', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:51', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:51', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:52', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:52', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
